height_inches,weight_pounds
69.0,191.6
66.4,187.8
69.6,204.1
73.1,213.2
66.1,157.7
66.1,164.3
73.3,205.7
70.1,196.9
65.1,183.6
69.2,244.6
65.1,184.5
65.1,192.9
68.0,197.8
59.3,170.0
60.1,157.5
64.8,186.2
62.9,158.4
68.3,180.7
63.4,163.8
61.4,166.9
72.9,231.4
66.1,150.5
67.3,191.9
61.3,141.3
64.8,167.9
67.4,198.4
62.4,169.4
68.5,168.8
64.6,163.7
65.8,187.9
64.6,163.4
74.4,204.2
66.9,181.4
62.8,159.7
70.3,221.9
62.1,177.2
67.8,152.8
59.2,162.5
61.7,156.6
67.8,195.8
70.0,177.0
67.7,181.0
66.5,187.2
65.8,190.6
61.1,146.9
64.1,168.1
65.2,168.8
71.2,182.5
68.4,211.1
59.9,167.9
68.3,165.5
65.5,190.5
64.3,205.4
69.4,203.0
71.1,169.2
70.7,183.7
63.6,190.8
65.8,166.9
68.3,191.1
70.9,203.1
65.1,161.8
66.3,178.0
62.6,120.3
62.2,152.6
70.3,185.9
72.4,176.8
66.7,204.6
71.0,170.3
68.4,178.2
64.4,175.9
68.4,206.4
73.2,176.0
66.9,198.0
73.3,198.0
56.5,137.9
70.3,196.7
67.3,184.8
65.8,168.7
67.4,182.9
59.0,153.7
66.1,180.2
68.4,194.7
72.9,220.7
64.9,156.7
63.8,204.2
65.0,146.2
70.7,188.5
68.3,193.3
64.9,179.4
69.1,177.1
67.4,178.8
70.9,184.0
64.2,164.5
65.7,190.1
65.4,182.0
61.1,154.7
68.2,197.6
68.0,188.3
67.0,193.1
66.1,187.8
61.3,153.2
65.3,168.0
65.6,188.4
63.8,181.4
66.4,178.8
68.6,187.0
74.5,220.4
67.7,173.9
68.0,191.9
66.7,177.1
59.3,156.9
66.9,197.1
67.2,193.9
76.9,219.7
66.2,198.4
68.2,184.5
66.9,190.8
62.3,163.6
71.6,198.1
70.0,187.1
70.2,190.9
63.4,180.0
72.6,183.8
61.4,197.1
69.3,172.1
75.8,186.3
63.0,187.6
64.7,186.7
67.4,191.3
65.0,184.9
60.8,164.0
67.3,168.2
62.8,170.6
68.9,175.9
63.3,185.6
73.2,195.4
63.9,160.1
65.7,172.6
70.3,195.9
62.1,159.2
67.9,171.0
72.2,198.7
60.6,167.2
67.7,175.3
68.0,176.6
70.1,192.8
62.1,145.8
61.7,145.5
69.1,175.8
68.2,180.9
68.0,188.3
68.4,206.8
64.3,186.4
67.9,181.0
68.2,183.8
64.1,158.1
74.5,200.8
68.9,181.7
62.2,172.9
69.6,175.6
63.1,178.2
70.1,212.4
71.6,191.8
63.7,178.1
70.9,201.7
68.7,179.3
70.3,193.1
74.6,201.6
66.0,179.7
64.0,161.2
63.4,171.7
63.7,179.6
66.7,201.8
68.4,199.0
68.1,216.2
70.3,178.3
67.1,194.1
72.8,199.3
65.9,210.9
77.9,198.2
69.5,175.1
63.6,162.7
62.7,137.5
68.9,178.2
66.1,167.1
69.9,190.9
68.9,191.1
66.7,208.3
63.6,186.0
60.9,155.9
65.2,162.6
70.4,197.5
67.9,163.4
62.0,194.9
67.7,200.5
68.5,178.0
63.5,145.7
67.6,202.9
67.2,179.8
62.4,187.1
